cut,res,DCISct,CTCLct,BCct,DCISexpr,CTCLexpr,BCexpr
0.1,0.5,0.62012987,0.719047619,0.604761905,0.532467532,0,0
0.1,0.6,0.636363636,0.6,0.757142857,0.553571429,0,0
0.1,0.7,0.668831169,0.6,0.647619048,0.530844156,0.566666667,0
0.1,0.8,0.657467532,0.733333333,0.688095238,0.457792208,0.545238095,0.576190476
0.1,0.9,0.63474026,0.676190476,0.697619048,0.38961039,0.564285714,0.576190476
0.2,0.5,0.62987013,0.561904762,0.626190476,0.566558442,0.538095238,0
0.2,0.6,0.482142857,0.752380952,0.678571429,0.564935065,0.561904762,0.49047619
0.2,0.7,0.602272727,0.695238095,0.595238095,0.576298701,0.6,0.6
0.2,0.8,0.709415584,0.828571429,0.547619048,0.50487013,0.542857143,0.671428571
0.2,0.9,0.603084416,0.680952381,0.542857143,0.620941558,0.561904762,0.50952381
0.3,0.5,0.461038961,0.735714286,0.514285714,0.588474026,0.778571429,0.576190476
0.3,0.6,0.564935065,0.80952381,0.44047619,0.595779221,0.702380952,0.452380952
0.3,0.7,0.525162338,0.714285714,0.44047619,0.623376623,0.621428571,0.721428571
0.3,0.8,0.443181818,0.773809524,0.773809524,0.637175325,0.495238095,0.7
0.3,0.9,0.512175325,0.642857143,0.473809524,0.581980519,0.514285714,0.516666667
0.4,0.5,0.613636364,0.714285714,0.514285714,0.521103896,0.5,0.55952381
0.4,0.6,0.74512987,0.735714286,0.538095238,0.545454545,0.495238095,0.64047619
0.4,0.7,0.508928571,0.642857143,0.538095238,0.433441558,0.54047619,0.452380952
0.4,0.8,0.491883117,0.733333333,0.428571429,0.646915584,0.661904762,0.635714286
0.4,0.9,0.587662338,0.866666667,0.457142857,0.423701299,0.664285714,0.49047619
0.5,0.5,0.543831169,0.697619048,0.469047619,0.494318182,0,0.595238095
0.5,0.6,0.578733766,0.714285714,0.580952381,0.527597403,0,0.528571429
0.5,0.7,0.472402597,0.402380952,0.578571429,0.49025974,0,0.671428571
0.5,0.8,0.476461039,0.528571429,0.514285714,0.584415584,0,0.697619048
0.5,0.9,0.628246753,0.580952381,0.619047619,0.540584416,0,0.597619048
0.6,0.5,0.482142857,0.485714286,0.454761905,0.577922078,0,0.676190476
0.6,0.6,0.5625,0.576190476,0.511904762,0.487012987,0,0.573809524
0.6,0.7,0.483766234,0.630952381,0.723809524,0.637175325,0,0.626190476
0.6,0.8,0.581168831,0.676190476,0.388095238,0.722402597,0,0
0.6,0.9,0.571428571,0.6,0.528571429,0.599025974,0,0.554761905
0.7,0.5,0.512987013,0.561904762,0.504761905,0.495941558,0,0
0.7,0.6,0.531655844,0.614285714,0.545238095,0.495941558,0,0
0.7,0.7,0.570616883,0.633333333,0.638095238,0.503246753,0,0
0.7,0.8,0.616883117,0.619047619,0.621428571,0.503246753,0,0
0.7,0.9,0.579545455,0.514285714,0.519047619,0.50974026,0,0
0.8,0.5,0.789772727,0.523809524,0.645238095,0,0,0
0.8,0.6,0.63474026,0.483333333,0.65,0,0,0
0.8,0.7,0.537337662,0.60952381,0.65,0,0,0
0.8,0.8,0.560876623,0.773809524,0.611904762,0,0,0
0.8,0.9,0.536525974,0.704761905,0.611904762,0,0,0
0.9,0.5,0.672077922,0.59047619,0.592857143,0,0,0
0.9,0.6,0.788961039,0.55,0.592857143,0,0,0
0.9,0.7,0.619318182,0.578571429,0.616666667,0,0,0
0.9,0.8,0.55762987,0.55952381,0.626190476,0,0,0
0.9,0.9,0.474025974,0.538095238,0.616666667,0,0,0
