t(sec),Cells,Features
5.031,602,17
8.541,692,17
10.143,1249,17
5.055,463,17
9.144,735,17
11.02,932,17
9.221,1549,17
7.362,741,17
4.475,495,17
10.192,955,17
9.124,1141,17
3.541,489,17
7.079,625,17
12.993,989,17
6.006,472,17
8.535,771,17
10.534,882,17
6.076,804,17
7.719,898,17
8.183,959,17
5.853,595,17
4.841,491,17
6.906,1202,17
3.821,411,17
10.267,1148,17
13.394,1179,17
8.449,900,17
8.219,1371,17
8.048,922,17
5.609,955,17
5.182,893,17
6.424,1424,17
8.344,813,17
8.567,1058,17
3.887,254,17
9.374,1229,17
7.368,610,17
7.563,1547,17
7.68,1420,17
4.639,989,17
8.103,654,17
7.151,962,17
8.566,806,17
4.627,387,17
6.602,919,17
5.3,436,17
12.612,1255,17
10.134,966,17
9.751,841,17
4.633,657,17
7.868,748,17
9.235,897,17
5.921,873,17
8.592,636,17
5.436,595,17
7.338,1111,17
9.91,1125,17
9.484,691,17
12.933,1301,21
14.639,2324,21
6.831,603,21
9.478,2053,21
7.453,618,21
10.179,1225,21
9.845,1317,21
5.621,385,21
9.283,1082,21
9.539,1707,21
13.355,2334,21
9.44,1765,21
8.141,1270,21
14.378,2483,21
15.125,2325,21
12.161,1916,21
12.606,1909,21
7.407,1102,21
12.381,1914,21
9.037,808,21
7.926,1166,21
11.394,1854,21
8.975,1105,21
13.209,1970,21
3.751,558,21
3.32,112,21
4.68,458,21
3.819,257,21
2.438,144,21
2.507,85,27
10.847,1617,27
5.473,399,27
5.992,664,27
7.322,1280,27
10.5,2342,27
2.388,98,27
14.644,2640,27
12.267,1890,27
13.749,2457,27
12.852,2580,27
10.177,933,27
16.621,3131,27
12.78,1635,27
13.727,4628,27
9.762,1204,27
5.021,523,27
14.527,3942,27
13.589,4086,27
7.61,1213,27
19.471,6267,27
11.361,1900,27
11.929,3567,27
16.646,4923,27
13.284,3045,27
12.406,2662,27
8.374,2698,27
13.299,4713,27
10.509,2723,27
13.01,3193,27
15.55,602,38
10.917,692,38
16.676,1249,38
8.894,463,38
25.035,735,38
13.738,932,38
25.46,1549,38
10.698,741,38
5.559,495,38
12.75,955,38
13.668,1141,38
7.59,489,38
12.71,625,38
18.495,989,38
7.535,472,38
10.303,771,38
18.317,882,38
7.724,804,38
13.688,898,38
13.719,959,38
12.713,595,38
7.928,491,38
16.636,1202,38
7.688,411,38
24.071,1148,38
33.049,1179,38
22.222,900,38
24.863,1371,38
13.973,922,38
15.383,955,38
8.309,893,38
14.345,1424,38
14.773,813,38
20.228,1058,38
6.282,254,38
24.687,1229,38
16.79,610,38
20.442,1547,38
21.245,1420,38
13.489,989,38
16.356,654,38
14.729,962,38
7.368,806,38
6.148,387,38
9.336,919,38
6.97,436,38
28.255,1255,38
19.769,966,38
15.84,841,38
7.971,657,38
9.829,748,38
16.861,897,38
12.138,873,38
14.171,636,38
9.896,595,38
14.841,1111,38
26.783,1125,38
13.236,691,38
111.588,1301,56
136.701,2324,56
75.165,603,56
141.895,2053,56
58.917,618,56
58.636,1225,56
63.208,1317,56
31.503,385,56
52.77,1082,56
64.328,1707,56
65.142,2334,56
58.248,1765,56
47.689,1270,56
68.223,2483,56
70.284,2325,56
69.751,1916,56
68.689,1909,56
60.045,1102,56
66.146,1914,56
43.686,808,56
42.179,1166,56
59.388,1854,56
52.533,1105,56
67.937,1970,56
31.197,558,56
8.897,112,56
28.006,458,56
23.732,257,56
10.387,144,56
34.586,2723,33
45.881,4923,33
14.934,399,33
4.725,85,33
35.205,2580,33
14.504,664,33
34.87,2662,33
36.527,1635,33
38.354,1890,33
42.536,4713,33
24.354,1204,33
25.904,1213,33
36.943,3045,33
12.183,523,33
37.395,3567,33
30.871,1617,33
31.376,1900,33
24.911,2698,33
44.248,4086,33
55.228,6267,33
32.641,2342,33
31.477,933,33
41.576,3131,33
33.52,1280,33
38.284,3193,33
45.573,4628,33
38.656,2457,33
42.171,3942,33
2.378,98,33
38.793,2640,33
